meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1235,9515,1,14,1,7,SOFT,0
1235,9515,1,18,1,37,MEDIUM,1
1235,9515,1,22,1,12,MEDIUM,0
1235,9515,1,24,1,33,HARD,0
1235,9515,1,31,1,25,MEDIUM,0
1235,9515,1,77,1,8,MEDIUM,0
1235,9515,1,10,1,8,SOFT,0
1235,9515,1,3,1,11,MEDIUM,0
1235,9515,1,63,1,21,MEDIUM,0
1235,9515,1,16,1,25,MEDIUM,0
1235,9515,1,27,1,13,MEDIUM,0
1235,9515,1,20,1,37,MEDIUM,0
1235,9515,1,11,1,37,HARD,0
1235,9515,1,2,1,31,HARD,0
1235,9515,1,4,1,22,MEDIUM,0
1235,9515,1,44,1,27,MEDIUM,0
1235,9515,1,55,1,27,MEDIUM,0
1235,9515,1,1,1,24,MEDIUM,0
1235,9515,1,81,1,23,MEDIUM,0
1235,9515,1,23,1,8,MEDIUM,0
1235,9515,2,14,8,40,HARD,1
1235,9515,2,23,9,9,HARD,0
1235,9515,2,10,9,30,HARD,0
1235,9515,2,77,9,62,HARD,0
1235,9515,3,23,10,23,MEDIUM,8
1235,9515,2,3,12,62,HARD,0
1235,9515,2,22,13,62,HARD,0
1235,9515,2,27,14,62,HARD,0
1235,9515,2,63,22,52,HARD,0
1235,9515,2,4,23,63,HARD,1
1235,9515,2,81,24,63,HARD,1
1235,9515,2,1,25,63,HARD,0
1235,9515,4,23,24,28,MEDIUM,14
1235,9515,2,16,26,63,HARD,0
1235,9515,2,31,26,62,HARD,0
1235,9515,2,55,28,63,HARD,0
1235,9515,2,44,28,63,HARD,0
1235,9515,5,23,29,51,MEDIUM,8
1235,9515,3,10,31,62,MEDIUM,0
1235,9515,2,2,32,62,MEDIUM,0
1235,9515,2,24,34,62,MEDIUM,0
1235,9515,2,11,38,63,MEDIUM,0
1235,9515,2,18,38,63,HARD,1
1235,9515,2,20,38,62,HARD,0
1235,9515,3,14,41,59,MEDIUM,1
1235,9515,3,63,53,63,MEDIUM,2
1235,9515,4,14,60,62,SOFT,0
